item_basico,produto_mais_barato,preco_min,produto_mais_caro,preco_max,diferenca_absoluta,diferenca_percentual
arroz,ARROZ ARA BRANCO LONGO FINO TIPO 1 1KG,4.94,ARROZ NEGRO LA PASTINA 500G,43.63,38.69,783.2
feijao,FEIJÃO DE CORDA FIBRA TIPO 1 1KG,6.58,FEIJAO VERDE NATAN 1KG,32.41,25.83,392.6
acucar,AÇÚCAR CRISTAL OLHO D`AGUA 1KG,3.67,AÇÚCAR MASCAVO UNIÃO PACOTE 1KG,23.25,19.58,533.5
oleo,ÓLEO DE SOJA SOYA 900ML,9.46,ÓLEO DE GIRASSOL MAZOLA 900ML,27.26,17.8,188.2
ovos,OVO BRANCO GRANDE CAGE-FREE AVINE BANDEJA COM 10 UNIDADES,9.67,OVO BRANCO AVINE EXTRA C/30 UNIDADES,25.63,15.96,165.0
