item_basico,contagem,media,mediana,minimo,maximo,desvio_padrao
arroz,30,17.39,12.81,4.94,43.63,12.52
feijao,18,12.27,10.15,6.58,32.41,6.29
acucar,14,8.85,7.13,3.67,23.25,5.09
oleo,4,19.66,20.95,9.46,27.26,7.42
ovos,13,15.37,16.83,9.67,25.63,5.79
