item_basico,nome_produto,preco,preco_original,em_oferta,loja_market_id,categoria_id,codigo_barras,estoque,slug,url_produto
arroz,ARROZ BASMATI LA CUMPARSITA 500G,30.62,30.62,False,355,13758,7898152996745,4,arroz-basmati-la-cumparsita-500g,https://mercadinhossaoluiz.com.br/produto/arroz-basmati-la-cumparsita-500g
arroz,ARROZ URBANO PARA SUSHI 1KG,20.52,20.52,False,355,13758,7896038363056,6,arroz-sushi-urbano-1kg,https://mercadinhossaoluiz.com.br/produto/arroz-sushi-urbano-1kg
arroz,ARROZ URBANO 7 GRÃOS 1KG,20.52,20.52,False,355,13758,7896038300013,3,arroz-urbano-1kg-7-graos,https://mercadinhossaoluiz.com.br/produto/arroz-urbano-1kg-7-graos
arroz,BISCOITO ARROZ NATURATTA INTEGRAL ZERO 60G,11.99,11.99,False,355,13758,7898965335106,4,biscoito-arroz-naturatta-integral-zero-60g,https://mercadinhossaoluiz.com.br/produto/biscoito-arroz-naturatta-integral-zero-60g
arroz,ARROZ BASMATI LA PASTINA 500G,38.16,38.16,False,355,13758,7896196069371,2,arroz-basmati-la-pastina-500g,https://mercadinhossaoluiz.com.br/produto/arroz-basmati-la-pastina-500g
arroz,ARROZ MEU BIJU 8 GRAOS INTEGRAIS 500G,6.99,10.62,True,355,13758,7893500124351,2,arroz-meu-biju-8-graos-integrais-500g,https://mercadinhossaoluiz.com.br/produto/arroz-meu-biju-8-graos-integrais-500g
arroz,ARROZ TIO JOAO TOMATE E MANJERICAO 250G                                                                                                             ,9.95,9.95,False,355,13758,7893500044413,1,arroz-tio-joao-tomate-e-manjericao-250g,https://mercadinhossaoluiz.com.br/produto/arroz-tio-joao-tomate-e-manjericao-250g
arroz,ARROZ FGO MOLHO BCO BACON PD CONG 300G,12.05,12.05,False,355,13758,7891515625535,38,,https://mercadinhossaoluiz.com.br/produto/None
arroz,ARROZ CENOURA E AMENDOAS 1KG,22.5,22.5,False,355,13758,99147,999999,arroz-int-cenoura-abobrinha-rot-kg,https://mercadinhossaoluiz.com.br/produto/arroz-int-cenoura-abobrinha-rot-kg
arroz,ARROZ NATALINO  1KG,32.5,32.5,False,355,13758,64300,999999,arroz-a-grega-300g-806391,https://mercadinhossaoluiz.com.br/produto/arroz-a-grega-300g-806391
feijao,FEIJÃO PRETO COMBRASIL TIPO 1 1KG,11.47,11.47,False,355,13759,7896101062015,29,feijao-combrasil-preto-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-combrasil-preto-1kg
feijao,FEIJAO VERDE NATAN 1KG                                                     ,32.41,32.41,False,355,13759,7898902651016,23,feijao-verde-natan-1kg-99645,https://mercadinhossaoluiz.com.br/produto/feijao-verde-natan-1kg-99645
feijao,FEIJAO VERDE NATAN 500G,16.2,16.2,False,355,13759,7898902651023,28,feijao-verde-natan-500g-95868,https://mercadinhossaoluiz.com.br/produto/feijao-verde-natan-500g-95868
