item_basico,nome_produto,preco,preco_original,em_oferta,loja_market_id,categoria_id,codigo_barras,estoque,slug,url_produto
arroz,ARROZ BASMATI LA PASTINA 500G,38.16,38.16,False,355,13758,7896196069371,2,arroz-basmati-la-pastina-500g,https://mercadinhossaoluiz.com.br/produto/arroz-basmati-la-pastina-500g
arroz,ARROZ MEU BIJU 8 GRAOS INTEGRAIS 500G,6.99,10.62,True,355,13758,7893500124351,2,arroz-meu-biju-8-graos-integrais-500g,https://mercadinhossaoluiz.com.br/produto/arroz-meu-biju-8-graos-integrais-500g
arroz,ARROZ TIO JOAO TOMATE E MANJERICAO 250G                                                                                                             ,9.95,9.95,False,355,13758,7893500044413,3,arroz-tio-joao-tomate-e-manjericao-250g,https://mercadinhossaoluiz.com.br/produto/arroz-tio-joao-tomate-e-manjericao-250g
arroz,ARROZ FGO MOLHO BCO BACON PD CONG 300G,12.05,12.05,False,355,13758,7891515625535,24,,https://mercadinhossaoluiz.com.br/produto/None
arroz,ARROZ CENOURA E AMENDOAS 1KG,22.5,22.5,False,355,13758,99147,999999,arroz-int-cenoura-abobrinha-rot-kg,https://mercadinhossaoluiz.com.br/produto/arroz-int-cenoura-abobrinha-rot-kg
arroz,ARROZ NATALINO  1KG,32.5,32.5,False,355,13758,64300,999999,arroz-a-grega-300g-806391,https://mercadinhossaoluiz.com.br/produto/arroz-a-grega-300g-806391
feijao,FEIJÃO PRETO COMBRASIL TIPO 1 1KG,11.47,11.47,False,355,13759,7896101062015,17,feijao-combrasil-preto-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-combrasil-preto-1kg
feijao,FEIJAO VERDE NATAN 1KG                                                     ,32.41,32.41,False,355,13759,7898902651016,22,feijao-verde-natan-1kg-99645,https://mercadinhossaoluiz.com.br/produto/feijao-verde-natan-1kg-99645
feijao,FEIJAO VERDE NATAN 500G,16.2,16.2,False,355,13759,7898902651023,35,feijao-verde-natan-500g-95868,https://mercadinhossaoluiz.com.br/produto/feijao-verde-natan-500g-95868
feijao,FEIJÃO DE CORDA FIBRA TIPO 1 1KG,6.58,6.58,False,355,13759,7898384200016,23,feijao-de-corda-tipo-1-fibra-pacote-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-de-corda-tipo-1-fibra-pacote-1kg
feijao,FEIJÃO CARIOCA FIBRA 1KG,8.94,8.94,False,355,13759,7898384200023,46,feijao-carioca-tipo-1-fibra-pacote-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-carioca-tipo-1-fibra-pacote-1kg
feijao,FEIJÃO CARIOCA KICALDO 1KG,9.88,9.88,False,355,13759,7896116900029,63,feijao-carioca-kicaldo-1kg-4108,https://mercadinhossaoluiz.com.br/produto/feijao-carioca-kicaldo-1kg-4108
feijao,FEIJÃO BRANCO FIBRA 1KG,7.25,7.25,False,355,13759,7898384200122,13,feijao-branco-tipo-1-fibra-pacote-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-branco-tipo-1-fibra-pacote-1kg
feijao,FEIJÃO PRETO KICALDO 1KG,7.78,7.78,False,355,13759,7896116900050,18,feijao-preto-kicaldo-1kg-4707,https://mercadinhossaoluiz.com.br/produto/feijao-preto-kicaldo-1kg-4707
feijao,FEIJÃO DE CORDA KICALDO 1KG,7.11,7.11,False,355,13759,7896116901347,24,feijao-de-corda-kicaldo-pacote-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-de-corda-kicaldo-pacote-1kg
feijao,FEIJÃO FRADINHO KICALDO 1KG,6.83,6.83,False,355,13759,7896116901385,12,feijao-fradinho-kicaldo-1kg-4473,https://mercadinhossaoluiz.com.br/produto/feijao-fradinho-kicaldo-1kg-4473
feijao,FEIJÃO JALO KICALDO 1KG,15.78,15.78,False,355,13759,7896116900432,7,feijao-jalo-kicaldo-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-jalo-kicaldo-1kg
feijao,FEIJÃO RAJADO KICALDO 1KG,15.78,15.78,False,355,13759,7896116900425,7,feijao-rajado-kicaldo-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-rajado-kicaldo-1kg
feijao,FEIJÃO BRANCO BIJU 500G,7.21,7.21,False,355,13759,7893500005902,3,feijao-branco-biju-500g-94412,https://mercadinhossaoluiz.com.br/produto/feijao-branco-biju-500g-94412
feijao,FEIJÃO PRETO PRONTO CAMIL 490G,11.32,11.32,False,355,13759,7896006712398,8,feijao-preto-camil-pronto-sem-tempero-490g,https://mercadinhossaoluiz.com.br/produto/feijao-preto-camil-pronto-sem-tempero-490g
feijao,FEIJÃO CARIOCA DONA DÊ 1KG,8.94,8.94,False,355,13759,7898922012019,36,feijao-carioca-dona-de-pacote-1kg,https://mercadinhossaoluiz.com.br/produto/feijao-carioca-dona-de-pacote-1kg
