nome_produto,preco,preco_original,desconto_percentual,codigo_produto,categoria_busca,fonte,url_produto,imagem_url
Coca-Cola Sem Açúcar 6 Unidades 350 ml Cada Pack Leve Mais Pague Menos,20.99,23.7,11.43,11242198,acucar,Carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-6-unidades-350-ml-cada-pack-leve-mais-pague-menos-11242198,
Coca-Cola Sem Açúcar Pet 2 L,11.49,11.49,0.0,3132,acucar,Carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-pet-2-l-3132,
Kit Açúcar União 1kg + Margarina Com Sal Qualy 500 g + Feijão Carioca Kicaldo 1kg + Macarrão de Sêmola Com Ovos Espaguete Nº8 500g,26.65,26.65,0.0,333446959,acucar,Carrefour,https://mercado.carrefour.com.br/produto/kit-acucar-uniao-1kg-margarina-com-sal-qualy-500-g-feijao-carioca-kicaldo-1kg-macarrao-de-semola-com-ovos-espaguete-n8-500g-333446959,
Coca-Cola Sem Açúcar Pet 600 ml,5.48,5.48,0.0,3391,acucar,Carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-pet-600-ml-3391,
Coca-Cola Sem Açúcar Pet 1 L,7.39,7.39,0.0,7232,acucar,Carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-pet-1-l-7232,
Kit Açúcar Refinado União 1kg + Café Em Pó Melitta 500g + Leite Integral Piracanjuba 1l,35.37,35.37,0.0,333445931,acucar,Carrefour,https://mercado.carrefour.com.br/produto/kit-acucar-refinado-uniao-1kg-cafe-em-po-melitta-500g-leite-integral-piracanjuba-1l-333445931,
Composto Lácteo em Pó com Óleos Vegetais e Fibras Danone Milnutri Premium 800 G,74.9,74.9,0.0,9174,oleo,Carrefour,https://mercado.carrefour.com.br/produto/composto-lacteo-em-po-com-oleos-vegetais-e-fibras-danone-milnutri-premium-800-g-9174,
