nome_produto,preco,preco_original,desconto_percentual,codigo_produto,categoria_busca,fonte,url_produto,imagem_url
AÃ§Ãºcar Demerara OrgÃ¢nico Carrefour Bio 1 Kg,6.39,7.99,20.03,6470432,acucar,Carrefour,https://mercado.carrefour.com.br/produto/acucar-demerara-organico-carrefour-bio-1-kg-6470432,
Coca-Cola Sem AÃ§Ãºcar 6 Unidades 350 ml Cada Pack Leve Mais Pague Menos,20.99,23.7,11.43,11242198,acucar,Carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-6-unidades-350-ml-cada-pack-leve-mais-pague-menos-11242198,
AÃ§Ãºcar Refinado UniÃ£o 1kg,3.79,,,2406,acucar,Carrefour,https://mercado.carrefour.com.br/produto/acucar-refinado-uniao-1kg-2406,
AÃ§Ãºcar Refinado Caravelas 1kg,2.98,,,15211,acucar,Carrefour,https://mercado.carrefour.com.br/produto/acucar-refinado-caravelas-1kg-15211,
Coca-Cola Sem AÃ§Ãºcar Pet 2 L,11.49,,,3132,acucar,Carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-pet-2-l-3132,
Kit AÃ§Ãºcar UniÃ£o 1kg + Margarina Com Sal Qualy 500 g + FeijÃ£o Carioca Kicaldo 1kg + MacarrÃ£o de SÃªmola Com Ovos Espaguete NÂº8 500g,26.65,,,333446959,acucar,Carrefour,https://mercado.carrefour.com.br/produto/kit-acucar-uniao-1kg-margarina-com-sal-qualy-500-g-feijao-carioca-kicaldo-1kg-macarrao-de-semola-com-ovos-espaguete-n8-500g-333446959,
AÃ§Ãºcar Demerara OrgÃ¢nico Native 1Kg,9.39,,,5332,acucar,Carrefour,https://mercado.carrefour.com.br/produto/acucar-demerara-organico-native-1kg-5332,
Coca-Cola Sem AÃ§Ãºcar Pet 600 ml,5.48,,,3391,acucar,Carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-pet-600-ml-3391,
AÃ§Ãºcar Refinado Da Barra 1Kg,3.29,,,15210,acucar,Carrefour,https://mercado.carrefour.com.br/produto/acucar-refinado-da-barra-1kg-15210,
Coca-Cola Sem AÃ§Ãºcar Pet 1 L,7.39,,,7232,acucar,Carrefour,https://mercado.carrefour.com.br/produto/coca-cola-sem-acucar-pet-1-l-7232,
AÃ§Ãºcar Cristal Caravelas Pacote 5 Kg,14.69,,,9923,acucar,Carrefour,https://mercado.carrefour.com.br/produto/acucar-cristal-caravelas-pacote-5-kg-9923,
AÃ§Ãºcar Refinado UniÃ£o DoÃ§Ãºcar 1Kg,6.19,,,8362,acucar,Carrefour,https://mercado.carrefour.com.br/produto/acucar-refinado-uniao-docucar-1kg-8362,
AÃ§Ãºcar Cristal Carrefour 1 kg,5.39,,,4763583,acucar,Carrefour,https://mercado.carrefour.com.br/produto/acucar-cristal-carrefour-1-kg-4763583,
Kit AÃ§Ãºcar Refinado UniÃ£o 1kg + CafÃ© Em PÃ³ Melitta 500g + Leite Integral Piracanjuba 1l,35.37,,,333445931,acucar,Carrefour,https://mercado.carrefour.com.br/produto/kit-acucar-refinado-uniao-1kg-cafe-em-po-melitta-500g-leite-integral-piracanjuba-1l-333445931,
Ãleo de Soja Soya 900ml,6.19,7.79,20.54,15237,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-soja-soya-900ml-15237,
Ãleo de Soja Vitaliv Garrafa 900 ml,6.29,7.89,20.28,310337732,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-soja-vitaliv-garrafa-900-ml-310337732,
Ãleo de Soja Confiare 900ml,7.09,,,325711880,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-soja-confiare-900ml-325711880,
Ãleo de Soja Liza 900ml,7.79,,,5278,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-soja-liza-900ml-5278,
Ãleo de Girassol Tipo 1 Liza Especiais Garrafa 500ml,11.29,,,332590537,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-girassol-tipo-1-liza-especiais-garrafa-500ml-332590537,
OlÃ©o Girassol Liza Pet 900 ml,16.09,,,5205,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-girassol-liza-pet-900-ml-5205,
Ãleo de Girassol Carrefour 900ml,9.39,,,12342,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-girassol-carrefour-900ml-12342,
Ãleo de Milho Liza Especiais 900ml,12.99,,,12215,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-milho-liza-especiais-900ml-12215,
Ãleo de Girassol Soya 900ml,14.59,,,14644,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-girassol-soya-900ml-14644,
Ãleo de Canola Liza 900ml,16.49,,,15322,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-canola-liza-900ml-15322,
Ãleo de Canola Carrefour 900 ml,11.29,,,7747544,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-canola-carrefour-900-ml-7747544,
Ãleo de Coco Spray Carrefour 125 ml,14.99,,,312958369,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-coco-spray-carrefour-125-ml-312958369,
Ãleo de Coco Copra Extravirgem 500ml,62.49,,,10195,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-coco-copra-extravirgem-500ml-10195,
Composto LÃ¡cteo em PÃ³ com Ãleos Vegetais e Fibras Danone Milnutri Premium 800 G,74.9,,,9174,oleo,Carrefour,https://mercado.carrefour.com.br/produto/composto-lacteo-em-po-com-oleos-vegetais-e-fibras-danone-milnutri-premium-800-g-9174,
Ãleo de AlgodÃ£o Tipo 1 Liza Especiais Garrafa 900 ml,16.09,,,312944499,oleo,Carrefour,https://mercado.carrefour.com.br/produto/oleo-de-algodao-tipo-1-liza-especiais-garrafa-900-ml-312944499,
Ovos Brancos Jumbo Graciana Estojo com 10 Unidades,5.98,,,340331205,ovos,Carrefour,https://mercado.carrefour.com.br/produto/ovos-brancos-jumbo-graciana-estojo-com-10-unidades-340331205,
Ovos Brancos Jumbo Graciana Estojo com 10 Unidades,5.98,,,340331205,ovos,Carrefour,https://mercado.carrefour.com.br/produto/ovos-brancos-jumbo-graciana-estojo-com-10-unidades-340331205,
Ovos Vermelhos Carrefour 20 Unidades,11.99,,,9821,ovos,Carrefour,https://mercado.carrefour.com.br/produto/ovos-vermelhos-carrefour-20-unidades-9821,
Ovos Caipira Ito Country com 10 Unidades,14.29,,,321970526,ovos,Carrefour,https://mercado.carrefour.com.br/produto/ovos-caipira-ito-country-com-10-unidades-321970526,
Ovos Tipo Grande Vermelho Caipira Categoria A Carrefour 10 Unidades,12.99,,,6637,ovos,Carrefour,https://mercado.carrefour.com.br/produto/ovos-tipo-grande-vermelho-caipira-categoria-a-carrefour-10-unidades-6637,
Ovo Vermelho Ac Planalto Ovos com 20 Unidades,18.99,,,9259336,ovos,Carrefour,https://mercado.carrefour.com.br/produto/ovo-vermelho-ac-planalto-ovos-com-20-unidades-9259336,
Ovos Vermelhos Caipira Grandes Graciana Estojo com 10 Unidades,8.99,,,340533260,ovos,Carrefour,https://mercado.carrefour.com.br/produto/ovos-vermelhos-caipira-grandes-graciana-estojo-com-10-unidades-340533260,
