item_basico,nome_produto,preco,preco_original,desconto_percentual,em_oferta,loja_market_id,categoria_id,codigo_barras,estoque,slug,url_produto,categoria_busca,fonte
acucar,ADOCANTE LIQUIDO LINEA 75ML DIET 50% DESCONTO NA 2 UNIDADE,29.95,29.95,0.0,False,355,13760,7896001282421,6,adocante-liquido-linea-75ml-diet-50-desconto-na-2-unidade,https://mercadinhossaoluiz.com.br/produto/adocante-liquido-linea-75ml-diet-50-desconto-na-2-unidade,acucar,Mercadinho São Luiz
acucar,ADOCANTE STEVIA SEM SABOR AMARGO 30ML COLOR ANDINA,27.15,27.15,0.0,False,355,13760,619205643778,5,,https://mercadinhossaoluiz.com.br/produto/None,acucar,Mercadinho São Luiz
acucar,ADOCANTE LIQUIDO GOLD STEVIA 100% 65ML,13.09,13.09,0.0,False,355,13760,7896569406253,1,adocante-liquido-gold-stevia-100-65ml,https://mercadinhossaoluiz.com.br/produto/adocante-liquido-gold-stevia-100-65ml,acucar,Mercadinho São Luiz
acucar,ADOCANTE LIQUIDO GOLD STEVIA 65ML,13.78,13.78,0.0,False,355,13760,7896261405448,1,,https://mercadinhossaoluiz.com.br/produto/None,acucar,Mercadinho São Luiz
oleo,MOLHO DE TOMATE POMAROLA RECEITAS BOLONHESA 300G,9.15,9.15,0.0,False,355,13799,7896036095126,15,pomarola-bolonhesa-sache-300g,https://mercadinhossaoluiz.com.br/produto/pomarola-bolonhesa-sache-300g,oleo,Mercadinho São Luiz
oleo,COLORÍFICO DONA CLARA 100G,1.36,1.36,0.0,False,355,13799,7896490288898,198,colorau-colorifico-dona-clara-100g,https://mercadinhossaoluiz.com.br/produto/colorau-colorifico-dona-clara-100g,oleo,Mercadinho São Luiz
oleo,MOLHO DE PIMENTA TABASCO BRAND PEPPER 60ML,30.52,30.52,0.0,False,355,13799,11210115606,5,molho-americano-tabasco-red-pepper-60ml,https://mercadinhossaoluiz.com.br/produto/molho-americano-tabasco-red-pepper-60ml,oleo,Mercadinho São Luiz
oleo,TEMPERO SAZÓN CARNE 60G,6.37,6.37,0.0,False,355,13799,7891132019281,26,tempero-sazon-carne-floppy-60g,https://mercadinhossaoluiz.com.br/produto/tempero-sazon-carne-floppy-60g,oleo,Mercadinho São Luiz
oleo,TEMPERO SAZÓN AVES 60G,6.37,6.37,0.0,False,355,13799,7891132019274,20,tempero-para-frango-sazon-60g,https://mercadinhossaoluiz.com.br/produto/tempero-para-frango-sazon-60g,oleo,Mercadinho São Luiz
oleo,TEMPERO SAZÓN LEGUMES 60G,6.37,6.37,0.0,False,355,13799,7891132019403,12,tempero-para-legumes-sazon-pacote-60g,https://mercadinhossaoluiz.com.br/produto/tempero-para-legumes-sazon-pacote-60g,oleo,Mercadinho São Luiz
oleo,TEMPERO SABOR AMI SEM PIMENTA 300G,6.47,6.47,0.0,False,355,13799,7891132019038,11,sabor-a-mi-s-p-24-pote-x-300-gr,https://mercadinhossaoluiz.com.br/produto/sabor-a-mi-s-p-24-pote-x-300-gr,oleo,Mercadinho São Luiz
